#,Item,Unit,Material (R/unit),Labour (R/unit),Default Job Notes
1,High Pressure Washing,each,980,700,"NOTE TO CLIENT: This is a noisy process and can be messy. This should not take more than the indicted days and will be cleaned up. Please point out water sources to be used to the Team Leader upon commencment of work.
•	High pressure wash min pressure 200 bar  
•	Wash to remove all salt and dirt + Loose material from area. 
•	When working on the roof use safety harness and anchor point for safety. 
•	Use drop sheet and garbage bags to collect all loose material generated. 
•	Perform cleanup of the area before commencing to with next step"
2,Roof Wash,m²,12,60,"NOTE TO CLIENT: This is a noisy process and can be messy. This should not take more than the indicted days and will be cleaned up. Please point out water sources to be used to the Team Leader upon commencment of work.
•	High pressure wash min pressure 200 bar  
•	Apply 1 coat Midas FUNGICIDAL WASH to all affected areas.
•	Allow minimum 24 hours reaction time.
•	Remove all growth with a stiff fibre brush.
•	Apply SECOND coat of FUNGICIDAL WASH.
•	DO NOT rinse off the second coat.
•	Failure to follow this sequence risks regrowth. 
•	When working on the roof use safety harness and anchor point for safety. 
•	Use drop sheet and garbage bags to collect all loose material generated. 
•	Perform cleanup of the area before commencing to with next step"
3,Plaster Repair,m²,80,50,"•	Remove ALL loose, defective and damaged plaster
•	Prime area with 1 coat bonding liquid
•	Repair with Paintsmiths PLASTER REPAIR KIT
•	Do not exceed 20mm thickness.
•	Do not rush curing â€“ insufficient curing leads to failure
•	Wet plaster 2 times daily or cover with dropsheet after first wetting.
•	Smoothen plaster or use a sponge to match existing texture."
4,Crack Repairs,m²,115,70,"•	Rake out all cracks wider than 0.5mm (not hairline cracks)
•	Prime with waterproofing slurry kit OR PCT36
•	Build up cracks with REPAIR MIX
•	Smoothen or use a sponge to match existing texture
•	Open all expansion joints and seal with All Round Sealer"
5,Wood Repair,lm,50,50,"•	Remove damaged coating, loose materials or rotten wood.
•	Sand down reamining wood to uniform matt finish
•	Prime all replacement pieces of wood with Wood Primer
•	Spot prime nails, hinges and fittings with Metal Etch Primer
•	Treat knots or resin marks with Knotting and Wood sealer
•	Allow to dry and lightly sand to create a good surface for priming"
6,Aluminium Restore,each,11,35,"•	Remove all loose contaminents with a soft bristle brush
•	Spray Aluminium Cleaner, let soak for 5 to 10min and wipe off
